週,品目,入荷量t,前週比%,前年比%,高値円,中値円,安値円,コメント,URL
2026年1月第1週,みかん,604,42,118,5400,3348,1080,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第1週,不知火,5,37,62,5724,4644,3780,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第1週,りんご,176,174,94,,,,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第1週,いちご,273,313,123,702,439,162,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第1週,アールスメロン,9,65,83,5400,2880,1836,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第1週,キウイ,8,312,82,,,,"今週の1日の平均入荷量は1,370トン。前週比では「いちご」「キウイ」「りんご」が増加。「不知火」「みかん」「アールスメロン」が減少。
全体では27%の減少となった。前年同期比では「はっさく」「きんかん」「いよかん」等が増加。「不知火」「キウイ」「アールスメロン」等が
減少。全体では10%の増加となった。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比58%の減少となった。静岡県産「普通みかん」の価格は弱保合となった。
「不知火」の1日平均入荷量は、前週比63%の減少となった。熊本県産の価格は保合となった。
「りんご」の1日平均入荷量は、前週比74%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比213%の増加となった。栃木県産「とちおとめ」の価格は弱保合となった。栃木県産「とちあいか」
の価格は弱保合となった。静岡県産「紅ほっぺ」の価格は弱保合となった。
「アールスメロン」の1日平均入荷量は、前週比35%の減少となった。静岡県産の価格は強保合となった。
「キウイ」の1日平均入荷量は、前週比212%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115746-005
2026年1月第2週,みかん,971,161,156,5400,3321,972,"今週の1日の平均入荷量は1,887トン。前週比では「不知火」「キウイ」「はっさく」等が増加。「いちご」が減少。全体では38%の増加と
なった。前年同期比では「はっさく」「みかん」「ポンカン」等が増加。「りんご」「いよかん」「不知火」が減少。全体では18%の増加となっ
た。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比61%の増加となった。静岡県産「普通みかん」の価格は保合となった。
「ポンカン」の1日平均入荷量は、前週比177%の増加となった。愛媛県産の価格は弱保合となった。
「いよかん」の1日平均入荷量は、前週比60%の増加となった。愛媛県産の価格は保合となった。
「はっさく」の1日平均入荷量は、前週比188%の増加となった。
「不知火」の1日平均入荷量は、前週比526%の増加となった。熊本県産の価格は弱含みとなった。
「きんかん」の1日平均入荷量は、前週比112%の増加となった。
「りんご」の1日平均入荷量は、前週比15%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比36%の減少となった。栃木県産「とちおとめ」の価格は弱含みとなった。栃木県産「とちあいか」
の価格は弱含みとなった。福岡県産「あまおう」の価格は保合となった。佐賀県産「いちごさん」の価格は弱保合となった。静岡県産
「アールスメロン」の1日平均入荷量は、前週比51%の増加となった。静岡県産の価格は弱保合となった。
「キウイ」の1日平均入荷量は、前週比298%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-16-111850-786
2026年1月第2週,ポンカン,95,277,117,3564,2916,1404,"今週の1日の平均入荷量は1,887トン。前週比では「不知火」「キウイ」「はっさく」等が増加。「いちご」が減少。全体では38%の増加と
なった。前年同期比では「はっさく」「みかん」「ポンカン」等が増加。「りんご」「いよかん」「不知火」が減少。全体では18%の増加となっ
た。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比61%の増加となった。静岡県産「普通みかん」の価格は保合となった。
「ポンカン」の1日平均入荷量は、前週比177%の増加となった。愛媛県産の価格は弱保合となった。
「いよかん」の1日平均入荷量は、前週比60%の増加となった。愛媛県産の価格は保合となった。
「はっさく」の1日平均入荷量は、前週比188%の増加となった。
「不知火」の1日平均入荷量は、前週比526%の増加となった。熊本県産の価格は弱含みとなった。
「きんかん」の1日平均入荷量は、前週比112%の増加となった。
「りんご」の1日平均入荷量は、前週比15%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比36%の減少となった。栃木県産「とちおとめ」の価格は弱含みとなった。栃木県産「とちあいか」
の価格は弱含みとなった。福岡県産「あまおう」の価格は保合となった。佐賀県産「いちごさん」の価格は弱保合となった。静岡県産
「アールスメロン」の1日平均入荷量は、前週比51%の増加となった。静岡県産の価格は弱保合となった。
「キウイ」の1日平均入荷量は、前週比298%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-16-111850-786
2026年1月第2週,いよかん,55,160,93,3780,3024,2376,"今週の1日の平均入荷量は1,887トン。前週比では「不知火」「キウイ」「はっさく」等が増加。「いちご」が減少。全体では38%の増加と
なった。前年同期比では「はっさく」「みかん」「ポンカン」等が増加。「りんご」「いよかん」「不知火」が減少。全体では18%の増加となっ
た。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比61%の増加となった。静岡県産「普通みかん」の価格は保合となった。
「ポンカン」の1日平均入荷量は、前週比177%の増加となった。愛媛県産の価格は弱保合となった。
「いよかん」の1日平均入荷量は、前週比60%の増加となった。愛媛県産の価格は保合となった。
「はっさく」の1日平均入荷量は、前週比188%の増加となった。
「不知火」の1日平均入荷量は、前週比526%の増加となった。熊本県産の価格は弱含みとなった。
「きんかん」の1日平均入荷量は、前週比112%の増加となった。
「りんご」の1日平均入荷量は、前週比15%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比36%の減少となった。栃木県産「とちおとめ」の価格は弱含みとなった。栃木県産「とちあいか」
の価格は弱含みとなった。福岡県産「あまおう」の価格は保合となった。佐賀県産「いちごさん」の価格は弱保合となった。静岡県産
「アールスメロン」の1日平均入荷量は、前週比51%の増加となった。静岡県産の価格は弱保合となった。
「キウイ」の1日平均入荷量は、前週比298%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-16-111850-786
2026年1月第2週,はっさく,42,288,224,3024,2700,1944,"今週の1日の平均入荷量は1,887トン。前週比では「不知火」「キウイ」「はっさく」等が増加。「いちご」が減少。全体では38%の増加と
なった。前年同期比では「はっさく」「みかん」「ポンカン」等が増加。「りんご」「いよかん」「不知火」が減少。全体では18%の増加となっ
た。市況は前週比で弱保合、前年同期比で弱保合となった。
「みかん」の1日平均入荷量は、前週比61%の増加となった。静岡県産「普通みかん」の価格は保合となった。
「ポンカン」の1日平均入荷量は、前週比177%の増加となった。愛媛県産の価格は弱保合となった。
「いよかん」の1日平均入荷量は、前週比60%の増加となった。愛媛県産の価格は保合となった。
「はっさく」の1日平均入荷量は、前週比188%の増加となった。
「不知火」の1日平均入荷量は、前週比526%の増加となった。熊本県産の価格は弱含みとなった。
「きんかん」の1日平均入荷量は、前週比112%の増加となった。
「りんご」の1日平均入荷量は、前週比15%の増加となった。青森県産「ふじ」の価格は保合となった。青森県産「王林」の価格は保合と
「いちご」の1日平均入荷量は、前週比36%の減少となった。栃木県産「とちおとめ」の価格は弱含みとなった。栃木県産「とちあいか」
の価格は弱含みとなった。福岡県産「あまおう」の価格は保合となった。佐賀県産「いちごさん」の価格は弱保合となった。静岡県産
「アールスメロン」の1日平均入荷量は、前週比51%の増加となった。静岡県産の価格は弱保合となった。
「キウイ」の1日平均入荷量は、前週比298%の増加となった。品　　目前週比",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-16-111850-786
